Date;SunshineTime;System Production (Wh)
2020-07-30;0,05;10088
2020-07-31;14,46;33979
2020-08-01;13,2;35595
2020-08-02;1,47;10082
2020-08-03;9,84;28449
2020-08-04;14,15;35300
2020-08-05;0;6685
2020-08-06;8,25;27516
2020-08-07;13,52;32506
2020-08-08;13,26;32812
2020-08-09;14,44;30968
2020-08-10;14,48;31010
2020-08-11;5,34;27634
2020-08-12;13,56;30635
2020-08-13;13,1;31755
2020-08-14;14,14;31262
2020-08-15;14,41;31173
2020-08-16;14,07;30710
2020-08-17;11,91;26947
2020-08-18;7,56;28267
2020-08-19;3,96;23231
2020-08-20;3,71;12715
2020-08-21;1,17;14095
2020-08-22;8,94;26499
2020-08-23;4,61;24581
2020-08-24;10,54;30002
2020-08-25;11,14;28386
2020-08-26;0;14636
2020-08-27;6,12;14675
2020-08-28;2,38;11353
2020-08-29;0,89;10844
2020-08-30;11,58;26367
2020-08-31;13,45;27954
2020-09-01;11,92;26043
2020-09-02;8,96;20788
2020-09-03;7,9;20872
2020-09-04;3,44;19913
2020-09-05;5,22;19547
2020-09-06;6,1;19504
2020-09-07;9,2;23865
2020-09-08;5,22;21118
2020-09-09;4,36;10933
2020-09-10;10,41;23010
2020-09-11;1,5;11371
2020-09-12;0,85;6177
2020-09-13;0;4521
2020-09-14;0,73;15390
2020-09-15;4,68;15988
2020-09-16;5,19;12547
2020-09-17;11,28;20740
2020-09-18;3,58;14240
2020-09-19;4,6;14270
2020-09-20;0,01;4592
2020-09-21;0;3625
2020-09-22;0,91;18224
2020-09-23;8,48;17719
2020-09-24;5,87;13380
2020-09-25;0;4531
2020-09-26;1,06;7200
2020-09-27;3,31;16237
2020-09-28;4,61;8318
2020-09-29;6,88;12027
2020-09-30;1,65;10166
